Name,Age,Position,Player Nationality,Market Value,Club,League,League Country,Transfer Type,Fee
Riqui Puig,22,Central Midfield,Spain,7.0,Los Angeles,MLS,United States,Free,
Uros Racic,24,Defensive Midfield,Serbia,7.0,SC Braga,Liga Portugal,Portugal,Loan,
Lucien Agoumé,20,Defensive Midfield,France,7.0,Troyes,Ligue 1,France,Loan,
Taylor Harwood-Bellis,20,Centre-Back,England,7.0,Burnley,Championship,England,Loan,
Thomas Strakosha,27,Goalkeeper,Albania,7.0,Brentford,Premier League,England,Free,
Stefano Sensi,26,Central Midfield,Italy,7.0,Monza,Serie A,Italy,Loan,
Adnan Januzaj,27,Right Winger,Belgium,7.0,Basaksehir,Süper Lig,Turkey,Loan,
Ghislain Konan,26,Left-Back,Cote d'Ivoire,7.0,Al-Nassr FC,Saudi Pro League,Saudi Arabia,Free,
Miguel Borja,29,Centre-Forward,Colombia,3.7,River Plate,Liga Profesional,Argentina,Permanent,6.7
Sávio,18,Right Winger,Brazil,6.0,Troyes,Ligue 1,France,Permanent,6.5
Yira Sor,22,Right Winger,Nigeria,4.0,KRC Genk,Jupiler Pro League,Belgium,Permanent,6.5
Cyriel Dessers,27,Centre-Forward,Nigeria,6.0,Cremonese,Serie A,Italy,Permanent,6.5
Samir Caetano,27,Centre-Back,Brazil,5.0,Tigres UANL,Liga MX Clausura,Mexico,Permanent,6.5
Stipe Biuk,20,Left Winger,Croatia,5.0,LAFC,MLS,United States,Permanent,6.5
Alberth Elis,26,Right Winger,Honduras,6.5,G. Bordeaux,Ligue 2,France,Permanent,6.0
Gedson Fernandes,23,Central Midfield,Portugal,6.5,Besiktas,Süper Lig,Turkey,Permanent,6.0
Ridvan Yilmaz,21,Left-Back,Turkey,6.5,Rangers,Premiership,Scotland,Permanent,4.0
Mostafa Mohamed,24,Centre-Forward,Egypt,6.5,Galatasaray,Süper Lig,Turkey,Permanent,3.85
Nicolás Castro,21,Attacking Midfield,Argentina,6.5,KRC Genk,Jupiler Pro League,Belgium,Permanent,3.2
Dion Beljo,20,Centre-Forward,Croatia,6.5,FC Augsburg,Bundesliga,Germany,Permanent,3.0
Andreaw Gravillon,24,Centre-Back,Guadeloupe,6.5,Stade Reims,Ligue 1,France,Permanent,3.0
Víctor Guzmán,27,Attacking Midfield,Mexico,6.5,Chivas,Liga MX Clausura,Mexico,Permanent,3.0
Erick Pulgar,28,Defensive Midfield,Chile,6.5,Flamengo,Série A,Brazil,Permanent,2.8
Selim Amallah,26,Attacking Midfield,Morocco,6.5,Real Valladolid,LaLiga,Spain,Permanent,1.0
Mostafa Mohamed,24,Centre-Forward,Egypt,6.5,FC Nantes,Ligue 1,France,Loan,
Niklas Stark,27,Centre-Back,Germany,6.5,Werder Bremen,Bundesliga,Germany,Free,
Santiago Ascacíbar,25,Defensive Midfield,Argentina,6.5,Estudiantes,Copa de la Liga,Argentina,Loan,
Jed Wallace,28,Right Winger,England,6.5,West Brom,Championship,England,Free,
Rémy Cabella,32,Attacking Midfield,France,6.5,LOSC Lille,Ligue 1,France,Free,
Santiago Ascacíbar,25,Defensive Midfield,Argentina,6.5,Cremonese,Serie A,Italy,Loan,
Matt Turner,28,Goalkeeper,United States,5.0,Arsenal,Premier League,England,Permanent,6.36
Jörgen Strand Larsen,22,Centre-Forward,Norway,6.0,Celta de Vigo,LaLiga,Spain,Permanent,12.4
Malick Thiaw,21,Centre-Back,Germany,6.0,AC Milan,Serie A,Italy,Permanent,8.6
Jayden Oosterwolde,21,Left-Back,Netherlands,2.0,Fenerbahce,Süper Lig,Turkey,Permanent,6.0
Yusuf Demir,19,Right Winger,Austria,5.0,Galatasaray,Süper Lig,Turkey,Permanent,6.0
Fausto Vera,22,Defensive Midfield,Argentina,6.0,Corinthians,Série A,Brazil,Permanent,6.0
David Hancko,24,Centre-Back,Slovakia,4.5,Feyenoord,Eredivisie,Netherlands,Permanent,6.0
Mario Gila,21,Centre-Back,Spain,5.0,Lazio,Serie A,Italy,Permanent,6.0
Fernando,23,Centre-Forward,Brazil,5.0,RB Salzburg,Bundesliga,Austria,Permanent,6.0
Pep Biel,25,Attacking Midfield,Spain,6.0,Olympiacos,Super League 1,Greece,Permanent,6.0
Kiki Kouyaté,25,Centre-Back,Mali,3.5,Montpellier,Ligue 1,France,Permanent,6.0
Matías Galarza,20,Central Midfield,Argentina,8.0,KRC Genk,Jupiler Pro League,Belgium,Permanent,6.0
Felix Afena-Gyan,19,Centre-Forward,Ghana,6.0,Cremonese,Serie A,Italy,Permanent,6.0
Bjorn Meijer,19,Left-Back,Netherlands,3.0,Club Brugge,Jupiler Pro League,Belgium,Permanent,6.0
Enzo Copetti,27,Centre-Forward,Argentina,6.0,Charlotte,MLS,United States,Permanent,6.0
Junior Messias,31,Right Winger,Brazil,6.0,AC Milan,Serie A,Italy,Permanent,5.5
Christian Benteke,31,Centre-Forward,Belgium,6.0,D.C. United,MLS,United States,Permanent,5.46
Jonathan Rodríguez,28,Centre-Forward,Uruguay,6.0,América,Liga MX Clausura,Mexico,Permanent,5.45
Valentin Rosier,25,Right-Back,France,6.0,Besiktas,Süper Lig,Turkey,Permanent,4.8
Anel Ahmedhodzic,23,Centre-Back,Bosnia-Herzegovina,6.0,Sheff Utd,Championship,England,Permanent,4.5
Franco Cristaldo,26,Attacking Midfield,Argentina,6.0,Grêmio,Série A,Brazil,Permanent,4.0
Javairô Dilrosun,24,Right Winger,Netherlands,6.0,Feyenoord,Eredivisie,Netherlands,Permanent,4.0
Julián Araujo,21,Right-Back,Mexico,6.0,Barça Atlètic,Primera Federación - Gr. II,Spain,Permanent,4.0
Miguel Gutiérrez,21,Left-Back,Spain,6.0,Girona,LaLiga,Spain,Permanent,4.0
Matías Vargas,25,Left Winger,Argentina,6.0,SH Port,Super League,China,Permanent,4.0
Fredrik Midtsjö,28,Central Midfield,Norway,6.0,Galatasaray,Süper Lig,Turkey,Permanent,3.5
Alistair Johnston,24,Right-Back,Canada,6.0,Celtic,Premiership,Scotland,Permanent,3.5
Gamid Agalarov,21,Centre-Forward,Russia,6.0,Akhmat Grozny,Premier Liga,Russia,Permanent,3.5
Darwin Machís,29,Left Winger,Venezuela,6.0,FC Juárez,Liga MX Clausura,Mexico,Permanent,3.5
Amir Hadziahmetovic,25,Defensive Midfield,Bosnia-Herzegovina,6.0,Besiktas,Süper Lig,Turkey,Permanent,3.2
Gonzalo Plata,21,Right Winger,Ecuador,6.0,Real Valladolid,LaLiga,Spain,Permanent,3.0
Lucas Piton,22,Left-Back,Italy,6.0,Vasco da Gama,Série A,Brazil,Permanent,3.0
Djordje Mihailovic,24,Attacking Midfield,United States,6.0,AZ Alkmaar,Eredivisie,Netherlands,Permanent,3.0
Willy Boly,31,Centre-Back,Cote d'Ivoire,6.0,Nottm Forest,Premier League,England,Permanent,2.6
Eric Bailly,28,Centre-Back,Cote d'Ivoire,6.0,Marseille,Ligue 1,France,Loan,
Bartlomiej Dragowski,24,Goalkeeper,Poland,6.0,Spezia Calcio,Serie A,Italy,Permanent,1.95
Pedro Raul,26,Centre-Forward,Brazil,6.0,Vasco da Gama,Série A,Brazil,Permanent,1.9
Amadou Diawara,25,Defensive Midfield,Guinea,6.0,RSC Anderlecht,Jupiler Pro League,Belgium,Permanent,1.89
Daniel Wass,33,Right-Back,Denmark,6.0,Bröndby IF,Superligaen,Denmark,Permanent,1.75
Marc Bartra,31,Centre-Back,Spain,6.0,Trabzonspor,Süper Lig,Turkey,Permanent,1.25
Lorenzo Lucca,21,Centre-Forward,Italy,6.0,Ajax,Eredivisie,Netherlands,Loan,
Carles Pérez,24,Right Winger,Spain,6.0,Celta de Vigo,LaLiga,Spain,Loan,
Matías Viña,25,Left-Back,Uruguay,6.0,Bournemouth,Premier League,England,Loan,
Florent Mollet,30,Attacking Midfield,France,6.0,FC Schalke 04,Bundesliga,Germany,Permanent,5.0
Tino Kadewere,26,Centre-Forward,Zimbabwe,6.0,RCD Mallorca,LaLiga,Spain,Loan,
Mergim Berisha,24,Centre-Forward,Germany,6.0,FC Augsburg,Bundesliga,Germany,Loan,
John Anthony Brooks,29,Centre-Back,United States,6.0,TSG Hoffenheim,Bundesliga,Germany,Permanent,3.0
Philipp Max,29,Left-Back,Germany,6.0,E. Frankfurt,Bundesliga,Germany,Loan,
Daley Blind,32,Left-Back,Netherlands,6.0,Bayern Munich,Bundesliga,Germany,Free,
Bruma,27,Left Winger,Portugal,6.0,Fenerbahce,Süper Lig,Turkey,Loan,
Filip Uremovic,25,Centre-Back,Croatia,6.0,Hertha BSC,Bundesliga,Germany,Free,
Lys Mousset,26,Centre-Forward,France,6.0,VfL Bochum,Bundesliga,Germany,Free,
Ayoze Pérez,29,Left Winger,Spain,6.0,Real Betis,LaLiga,Spain,Loan,
Ermedin Demirovic,24,Centre-Forward,Bosnia-Herzegovina,6.0,FC Augsburg,Bundesliga,Germany,Free,
Mohamed Daramy,20,Left Winger,Denmark,6.0,FC Copenhagen,Superligaen,Denmark,Loan,
Fabián Balbuena,30,Centre-Back,Paraguay,6.0,Corinthians,Série A,Brazil,Loan,
Stefan Ortega,29,Goalkeeper,Germany,6.0,Man City,Premier League,England,Free,
Otávio,28,Defensive Midfield,Brazil,6.0,Atlético-MG,Série A,Brazil,Free,
Hannibal,19,Attacking Midfield,Tunisia,6.0,Birmingham,Championship,England,Loan,
Cyle Larin,27,Centre-Forward,Canada,6.0,Real Valladolid,LaLiga,Spain,Loan,
Ki-Jana Hoever,20,Right-Back,Netherlands,6.0,PSV Eindhoven,Eredivisie,Netherlands,Loan,
Sávio,18,Right Winger,Brazil,6.0,PSV Eindhoven,Eredivisie,Netherlands,Loan,
Nehuén Pérez,22,Centre-Back,Argentina,6.0,Udinese Calcio,Serie A,Italy,Unknown,
Valentino Lazaro,26,Right-Back,Austria,6.0,Torino,Serie A,Italy,Loan,
Axel Tuanzebe,25,Centre-Back,England,6.0,Stoke City,Championship,England,Loan,
Luis Henrique,20,Left Winger,Brazil,6.0,Botafogo,Série A,Brazil,Loan,
Callum Robinson,27,Centre-Forward,Ireland,6.0,Cardiff,Championship,Wales,Unknown,
Aaron Connolly,22,Centre-Forward,Ireland,6.0,Venezia,Serie B,Italy,Loan,
Zack Steffen,27,Goalkeeper,United States,6.0,Middlesbrough,Championship,England,Loan,
Morgan Sanson,28,Central Midfield,France,6.0,R. Strasbourg,Ligue 1,France,Loan,
Konrad de la Fuente,21,Left Winger,United States,6.0,Olympiacos,Super League 1,Greece,Loan,
Martin Braithwaite,31,Centre-Forward,Denmark,6.0,Espanyol,LaLiga,Spain,Free,
Alexis Claude-Maurice,24,Attacking Midfield,France,6.0,Lens,Ligue 1,France,Loan,
Haris Seferovic,30,Centre-Forward,Switzerland,6.0,Celta de Vigo,LaLiga,Spain,Loan,
Óscar Mingueza,23,Centre-Back,Spain,6.0,Celta de Vigo,LaLiga,Spain,Free,
Marin Pongracic,24,Centre-Back,Croatia,6.0,Lecce,Serie A,Italy,Loan,
Adil Aouchiche,20,Attacking Midfield,France,6.0,FC Lorient,Ligue 1,France,Free,
Jordan Amavi,28,Left-Back,France,6.0,Getafe,LaLiga,Spain,Loan,
Artem Dzyuba,33,Centre-Forward,Russia,6.0,Adana Demirspor,Süper Lig,Turkey,Free,
Mahdi Camara,24,Central Midfield,France,6.0,Stade Brestois,Ligue 1,France,Loan,
Brian Rodríguez,22,Left Winger,Uruguay,4.0,América,Liga MX Clausura,Mexico,Permanent,5.97
Vakoun Bayo,25,Centre-Forward,Cote d'Ivoire,3.2,Watford,Championship,England,Permanent,5.8
Darko Gyabi,18,Central Midfield,England,,Leeds U21,Premier League 2,England,Permanent,5.8
Szymon Zurkowski,25,Central Midfield,Poland,5.8,Spezia Calcio,Serie A,Italy,Loan,
Juan Ignacio Nardoni,20,Central Midfield,Argentina,2.5,Racing Club,Copa de la Liga,Argentina,Permanent,5.7
Jean Meneses,29,Left Winger,Chile,3.5,Toluca,Liga MX Clausura,Mexico,Permanent,5.7
Maximiliano Araújo,22,Left Winger,Uruguay,4.0,Toluca,Liga MX Clausura,Mexico,Permanent,5.6
Casper Nielsen,28,Central Midfield,Denmark,5.5,Club Brugge,Jupiler Pro League,Belgium,Permanent,7.0
Isaak Touré,19,Centre-Back,France,5.0,Marseille,Ligue 1,France,Permanent,5.5
Williot Swedberg,18,Attacking Midfield,Sweden,5.0,Celta de Vigo,LaLiga,Spain,Permanent,5.5
Johan Mojica,30,Left-Back,Colombia,5.0,Villarreal,LaLiga,Spain,Permanent,5.5
Vincent Janssen,28,Centre-Forward,Netherlands,2.5,Royal Antwerp,Jupiler Pro League,Belgium,Permanent,5.5
Joel Mvuka,20,Right Winger,Norway,1.3,FC Lorient,Ligue 1,France,Permanent,5.5
Arne Maier,23,Central Midfield,Germany,5.5,FC Augsburg,Bundesliga,Germany,Permanent,5.0
Florin Tanase,27,Attacking Midfield,Romania,5.5,Al-Jazira,UAE Pro League,United Arab Emirates,Permanent,3.0
Martin Erlic,24,Centre-Back,Croatia,5.5,Sassuolo,Serie A,Italy,Permanent,3.0
Alessandro Florenzi,31,Right-Back,Italy,5.5,AC Milan,Serie A,Italy,Permanent,2.7
Jair,28,Defensive Midfield,Brazil,5.5,Vasco da Gama,Série A,Brazil,Permanent,2.65
Sead Hakšabanović,23,Left Winger,Montenegro,5.5,Celtic,Premiership,Scotland,Permanent,2.5
Cristian Pavón,26,Left Winger,Argentina,5.5,Atlético-MG,Série A,Brazil,Free,
Abdulrahman Ghareeb,25,Left Winger,Saudi Arabia,3.0,Al-Nassr FC,Saudi Pro League,Saudi Arabia,Permanent,5.25
Jordi Cortizo,26,Right Winger,Mexico,2.5,Monterrey,Liga MX Clausura,Mexico,Permanent,5.23
Anthony Modeste,34,Centre-Forward,France,3.0,Bor. Dortmund,Bundesliga,Germany,Permanent,5.1
Kristian Thorstvedt,23,Attacking Midfield,Norway,5.0,Sassuolo,Serie A,Italy,Permanent,10.15
Raphael Onyedika,21,Defensive Midfield,Nigeria,5.0,Club Brugge,Jupiler Pro League,Belgium,Permanent,9.5
Brandon Soppy,20,Right-Back,France,5.0,Atalanta BC,Serie A,Italy,Permanent,9.1
Yann Sommer,34,Goalkeeper,Switzerland,5.0,Bayern Munich,Bundesliga,Germany,Permanent,9.0
Andrea Cambiaso,22,Left-Back,Italy,5.0,Juventus,Serie A,Italy,Permanent,8.8
Christopher Martins Pereira,25,Defensive Midfield,Luxembourg,5.0,Spartak Moscow,Premier Liga,Russia,Permanent,7.0
Petar Musa,24,Centre-Forward,Croatia,5.0,Benfica,Liga Portugal,Portugal,Permanent,5.5
Oriol Romeu,30,Defensive Midfield,Spain,5.0,Girona,LaLiga,Spain,Permanent,5.5
Ko Itakura,25,Centre-Back,Japan,5.0,Bor. M'gladbach,Bundesliga,Germany,Permanent,5.0
Pablo Torre,19,Central Midfield,Spain,3.0,Barcelona,LaLiga,Spain,Permanent,5.0
Igor Paixão,22,Left Winger,Brazil,8.0,Feyenoord,Eredivisie,Netherlands,Permanent,5.0
Thomas Henry,27,Centre-Forward,France,5.0,Hellas Verona,Serie A,Italy,Permanent,5.0
Domagoj Bradaric,22,Left-Back,Croatia,3.5,Salernitana,Serie A,Italy,Permanent,5.0
Federico Bonazzoli,25,Centre-Forward,Italy,5.0,Salernitana,Serie A,Italy,Permanent,5.0
Adam Masina,28,Left-Back,Morocco,3.0,Udinese Calcio,Serie A,Italy,Permanent,5.0
Rares Ilie,19,Left Winger,Romania,1.3,OGC Nice,Ligue 1,France,Permanent,5.0
Jorge Sánchez,24,Right-Back,Mexico,5.0,Ajax,Eredivisie,Netherlands,Permanent,5.0
Dante Vanzeir,24,Centre-Forward,Belgium,5.0,New York RB,MLS,United States,Permanent,5.0
Aboubakar Kamara,27,Centre-Forward,Mauritania,3.5,Olympiacos,Super League 1,Greece,Permanent,5.0
Salis Abdul Samed,22,Defensive Midfield,Ghana,3.0,Lens,Ligue 1,France,Permanent,5.0
Brice Samba,28,Goalkeeper,France,2.5,Lens,Ligue 1,France,Permanent,5.0
Emiliano Martínez,23,Defensive Midfield,Uruguay,3.5,FC Midtjylland,Superligaen,Denmark,Permanent,5.0
Bruno Tabata,25,Attacking Midfield,Brazil,4.0,Palmeiras,Série A,Brazil,Permanent,5.0
Jurgen Ekkelenkamp,22,Central Midfield,Netherlands,3.5,Royal Antwerp,Jupiler Pro League,Belgium,Permanent,5.0
Ameen Al-Dakhil,20,Centre-Back,Belgium,3.0,Burnley,Championship,England,Permanent,5.0
Tolu Arokodare,22,Centre-Forward,Nigeria,2.2,KRC Genk,Jupiler Pro League,Belgium,Permanent,5.0
Ferran Jutglà,23,Centre-Forward,Spain,3.0,Club Brugge,Jupiler Pro League,Belgium,Permanent,5.0
Davide Bettella,22,Centre-Back,Italy,2.0,Monza,Serie A,Italy,Permanent,5.0
Luis Milla,27,Central Midfield,Spain,5.0,Getafe,LaLiga,Spain,Permanent,5.0
Leo Östigard,22,Centre-Back,Norway,5.0,SSC Napoli,Serie A,Italy,Permanent,5.0
Calvin Ramsay,18,Right-Back,Scotland,5.0,Liverpool,Premier League,England,Permanent,4.9
Hélder Costa,28,Right Winger,Angola,5.0,Al-Ittihad Club,Saudi Pro League,Saudi Arabia,Loan,
Ignatius Ganago,23,Centre-Forward,Cameroon,5.0,FC Nantes,Ligue 1,France,Permanent,4.4
Johann Lepenant,19,Defensive Midfield,France,5.0,Olympique Lyon,Ligue 1,France,Permanent,4.25
Petar Musa,24,Centre-Forward,Croatia,5.0,Boavista,Liga Portugal,Portugal,Permanent,4.25
Stephen Eustaquio,25,Central Midfield,Canada,5.0,FC Porto,Liga Portugal,Portugal,Permanent,4.21
Jean Onana,22,Defensive Midfield,Cameroon,5.0,Lens,Ligue 1,France,Permanent,4.0
Ezequiel Ponce,25,Centre-Forward,Argentina,5.0,Elche CF,LaLiga,Spain,Permanent,4.0
Andrea Carboni,21,Centre-Back,Italy,5.0,Monza,Serie A,Italy,Permanent,4.0
Georgios Giakoumakis,28,Centre-Forward,Greece,5.0,Atlanta,MLS,United States,Permanent,4.0
Adrien Thomasson,29,Attacking Midfield,France,5.0,Lens,Ligue 1,France,Permanent,3.9
Luca Orellano,22,Right Winger,Argentina,5.0,Vasco da Gama,Série A,Brazil,Permanent,3.72
Lincoln,23,Left-Back,Brazil,5.0,Fenerbahce,Süper Lig,Turkey,Permanent,3.5
Maxim Leitsch,24,Centre-Back,Germany,5.0,1.FSV Mainz 05,Bundesliga,Germany,Permanent,3.5
Rúben Semedo,28,Centre-Back,Portugal,5.0,Al-Duhail SC,Stars League,Qatar,Permanent,3.5
Jackson Muleka,22,Centre-Forward,DR Congo,5.0,Besiktas,Süper Lig,Turkey,Permanent,3.35
Mario Vuskovic,20,Centre-Back,Croatia,5.0,Hamburger SV,2. Bundesliga,Germany,Permanent,3.0
Jordan Torunarigha,24,Centre-Back,Nigeria,5.0,KAA Gent,Jupiler Pro League,Belgium,Permanent,3.0
Pablo Maffeo,24,Right-Back,Spain,5.0,RCD Mallorca,LaLiga,Spain,Permanent,3.0
Simon Banza,25,Centre-Forward,France,5.0,SC Braga,Liga Portugal,Portugal,Permanent,3.0
Iké Ugbo,23,Centre-Forward,Canada,5.0,Troyes,Ligue 1,France,Permanent,3.0
Josh Cullen,26,Central Midfield,Ireland,5.0,Burnley,Championship,England,Permanent,3.0
Roger Martí,31,Centre-Forward,Spain,5.0,Elche CF,LaLiga,Spain,Permanent,3.0
Abdülkerim Bardakci,27,Centre-Back,Turkey,5.0,Galatasaray,Süper Lig,Turkey,Permanent,2.8
Julián Quiñones,25,Centre-Forward,Colombia,5.0,Atlas,Liga MX Clausura,Mexico,Permanent,2.6
Tonny Vilhena,27,Central Midfield,Netherlands,5.0,Espanyol,LaLiga,Spain,Permanent,2.5
Pierre Lees-Melou,29,Defensive Midfield,France,5.0,Stade Brestois,Ligue 1,France,Permanent,2.3
Diogo Gonçalves,25,Right Winger,Portugal,5.0,FC Copenhagen,Superligaen,Denmark,Permanent,2.0
Umut Bozok,25,Centre-Forward,Turkey,5.0,Trabzonspor,Süper Lig,Turkey,Permanent,2.0
Jimmy Cabot,28,Right Midfield,France,5.0,Lens,Ligue 1,France,Permanent,2.0
Ivica Ivusic,27,Goalkeeper,Croatia,5.0,Pafos FC,Protathlima Cyta,Cyprus,Permanent,2.0
Andrea Cambiaso,22,Left-Back,Italy,5.0,Bologna,Serie A,Italy,Loan,
Dominik Kohr,28,Central Midfield,Germany,5.0,1.FSV Mainz 05,Bundesliga,Germany,Permanent,1.5
Lucas Perrin,23,Centre-Back,France,5.0,R. Strasbourg,Ligue 1,France,Permanent,1.5
Guga,24,Right-Back,Brazil,5.0,Fluminense,Série A,Brazil,Permanent,1.5
Jan Kuchta,25,Centre-Forward,Czech Republic,5.0,Sparta Prague,Fortuna Liga,Czech Republic,Loan,
Zymer Bytyqi,26,Left Winger,Kosovo,5.0,Olympiacos,Super League 1,Greece,Permanent,1.0
Henry Onyekuru,25,Left Winger,Nigeria,5.0,Adana Demirspor,Süper Lig,Turkey,Loan,
Mark-Anthony Kaye,27,Central Midfield,Canada,5.0,Toronto,MLS,Canada,Permanent,9.55
Jack Hendry,27,Centre-Back,Scotland,5.0,Cremonese,Serie A,Italy,Loan,
Nicolas Cozza,24,Left-Back,France,5.0,VfL Wolfsburg,Bundesliga,Germany,Permanent,5.0
Mathew Ryan,30,Goalkeeper,Australia,5.0,FC Copenhagen,Superligaen,Denmark,Permanent,5.0
Ludwig Augustinsson,28,Left-Back,Sweden,5.0,Aston Villa,Premier League,England,Loan,
Mathew Ryan,30,Goalkeeper,Australia,5.0,AZ Alkmaar,Eredivisie,Netherlands,Permanent,5.0
Tonny Vilhena,27,Central Midfield,Netherlands,5.0,Salernitana,Serie A,Italy,Loan,
Denis Suárez,29,Attacking Midfield,Spain,5.0,Espanyol,LaLiga,Spain,Loan,
Georgios Kyriakopoulos,26,Left-Back,Greece,5.0,Bologna,Serie A,Italy,Loan,
Nemanja Matic,33,Defensive Midfield,Serbia,5.0,AS Roma,Serie A,Italy,Free,
Junior Dina Ebimbe,21,Right Midfield,France,5.0,E. Frankfurt,Bundesliga,Germany,Loan,
Hugo Novoa,19,Right Winger,Spain,5.0,FC Basel,Super League,Switzerland,Loan,
Rúben Vinagre,23,Left-Back,Portugal,5.0,Everton,Premier League,England,Loan,
Sepp van den Berg,20,Centre-Back,Netherlands,5.0,FC Schalke 04,Bundesliga,Germany,Loan,
Sebastiano Esposito,20,Centre-Forward,Italy,5.0,RSC Anderlecht,Jupiler Pro League,Belgium,Loan,
Amos Pieper,24,Centre-Back,Germany,5.0,Werder Bremen,Bundesliga,Germany,Free,
Vincent Aboubakar,30,Centre-Forward,Cameroon,5.0,Besiktas,Süper Lig,Turkey,Free,
Arthur Masuaku,28,Left-Back,DR Congo,5.0,Besiktas,Süper Lig,Turkey,Loan,
Tom Lawrence,28,Left Winger,Wales,5.0,Rangers,Premiership,Scotland,Free,
Kamil Piatkowski,22,Centre-Back,Poland,5.0,KAA Gent,Jupiler Pro League,Belgium,Loan,
Sorba Thomas,24,Right Winger,Wales,5.0,Blackburn,Championship,England,Loan,
Nathanaël Mbuku,20,Left Winger,France,5.0,FC Augsburg,Bundesliga,Germany,Free,
Roko Simic,19,Centre-Forward,Croatia,5.0,FC Zürich,Super League,Switzerland,Loan,
Simone Verdi,30,Attacking Midfield,Italy,5.0,Hellas Verona,Serie A,Italy,Loan,
Isaak Touré,19,Centre-Back,France,5.0,AJ Auxerre,Ligue 1,France,Loan,
Aaron Mooy,31,Central Midfield,Australia,5.0,Celtic,Premiership,Scotland,Free,
Mads Bech Sörensen,23,Centre-Back,Denmark,5.0,OGC Nice,Ligue 1,France,Loan,
Gabriel Pires,28,Central Midfield,Brazil,5.0,Botafogo,Série A,Brazil,Loan,
Marcos Paulo,21,Left Winger,Portugal,5.0,São Paulo,Série A,Brazil,Loan,
Rodrigo Muniz,21,Centre-Forward,Brazil,5.0,Middlesbrough,Championship,England,Loan,
Frédéric Guilbert,28,Right-Back,France,5.0,R. Strasbourg,Ligue 1,France,Free,
Ronaël Pierre-Gabriel,24,Right-Back,France,5.0,R. Strasbourg,Ligue 1,France,Loan,
Thiago Andrade,22,Left Winger,Brazil,5.0,Athletico-PR,Série A,Brazil,Loan,
Sime Vrsaljko,30,Right-Back,Croatia,5.0,Olympiacos,Super League 1,Greece,Free,
Keylor Navas,36,Goalkeeper,Costa Rica,5.0,Nottm Forest,Premier League,England,Loan,
Joselu,32,Centre-Forward,Spain,5.0,Espanyol,LaLiga,Spain,Free,
Benjamin Lecomte,31,Goalkeeper,France,5.0,Espanyol,LaLiga,Spain,Loan,
Sebastian Walukiewicz,22,Centre-Back,Poland,5.0,FC Empoli,Serie A,Italy,Loan,
Marcelino Moreno,27,Attacking Midfield,Argentina,5.0,Coritiba FC,Série A,Brazil,Loan,
Shane Duffy,30,Centre-Back,Ireland,5.0,Fulham,Premier League,England,Loan,
Zelimkhan Bakaev,26,Right Winger,Russia,5.0,Zenit S-Pb,Premier Liga,Russia,Free,
Giuseppe Pezzella,24,Left-Back,Italy,5.0,Lecce,Serie A,Italy,Loan,
Rémi Oudin,25,Right Winger,France,5.0,Lecce,Serie A,Italy,Loan,
Henrique Araújo,21,Centre-Forward,Portugal,5.0,Watford,Championship,England,Loan,
Marvelous Nakamba,29,Defensive Midfield,Zimbabwe,5.0,Luton,Championship,England,Loan,
Jeff Hendrick,30,Central Midfield,Ireland,5.0,Reading,Championship,England,Loan,
Gonzalo Villar,24,Central Midfield,Spain,5.0,Sampdoria,Serie A,Italy,Loan,
Calegari,21,Right-Back,Brazil,5.0,Los Angeles,MLS,United States,Loan,
Riechedly Bazoer,25,Central Midfield,Netherlands,5.0,AZ Alkmaar,Eredivisie,Netherlands,Free,
Ian Maatsen,20,Left-Back,Netherlands,5.0,Burnley,Championship,England,Loan,
Levi Colwill,19,Centre-Back,England,5.0,Brighton,Premier League,England,Loan,
Jon Karrikaburu,20,Centre-Forward,Spain,5.0,CD Leganés,LaLiga2,Spain,Loan,
José Ángel Carmona,20,Right-Back,Spain,5.0,Elche CF,LaLiga,Spain,Loan,
Soualiho Meïté,28,Central Midfield,France,5.0,Cremonese,Serie A,Italy,Loan,
Antonio Blanco,22,Defensive Midfield,Spain,5.0,Cádiz CF,LaLiga,Spain,Loan,
Pablo Marí,28,Centre-Back,Spain,5.0,Monza,Serie A,Italy,Loan,
Aaron Connolly,22,Centre-Forward,Ireland,5.0,Hull City,Championship,England,Loan,
Jean Michaël Seri,30,Central Midfield,Cote d'Ivoire,5.0,Hull City,Championship,England,Free,
Steven Alzate,23,Central Midfield,Colombia,5.0,Standard Liège,Jupiler Pro League,Belgium,Loan,
Fernando Pacheco,30,Goalkeeper,Spain,5.0,UD Almería,LaLiga,Spain,Free,
Pierluigi Gollini,27,Goalkeeper,Italy,5.0,SSC Napoli,Serie A,Italy,Loan,
Yacine Brahimi,32,Left Winger,Algeria,5.0,Al-Gharafa SC,Stars League,Qatar,Free,
Vitinho,23,Left Winger,Brazil,5.0,RB Bragantino,Série A,Brazil,Loan,
Héctor Herrera,32,Central Midfield,Mexico,5.0,Houston,MLS,United States,Free,
Nicolás Acevedo,23,Defensive Midfield,Uruguay,5.0,EC Bahia,Série A,Brazil,Loan,
Ricardo Goulart,31,Attacking Midfield,Brazil,5.0,EC Bahia,Série B,Brazil,Free,
Yan Couto,20,Right-Back,Brazil,5.0,Girona,LaLiga,Spain,Loan,
Marcos Paulo,21,Left Winger,Portugal,5.0,CD Mirandés,LaLiga2,Spain,Loan,
Shon Weissman,26,Centre-Forward,Israel,5.0,Granada CF,LaLiga2,Spain,Loan,
